Category: All categories

Day,Game: (United States),Day,Game: (United States)
2020-01-01,52,2019-01-01,54
2020-01-02,36,2019-01-02,35
2020-01-03,31,2019-01-03,27
2020-01-04,45,2019-01-04,28
2020-01-05,71,2019-01-05,48
2020-01-06,31,2019-01-06,78
2020-01-07,27,2019-01-07,40
2020-01-08,28,2019-01-08,39
2020-01-09,31,2019-01-09,29
2020-01-10,33,2019-01-10,29
2020-01-11,55,2019-01-11,34
2020-01-12,75,2019-01-12,54
2020-01-13,46,2019-01-13,85
2020-01-14,60,2019-01-14,37
2020-01-15,30,2019-01-15,29
2020-01-16,30,2019-01-16,29
2020-01-17,33,2019-01-17,30
2020-01-18,38,2019-01-18,32
2020-01-19,67,2019-01-19,37
2020-01-20,44,2019-01-20,72
2020-01-21,28,2019-01-21,55
2020-01-22,30,2019-01-22,27
2020-01-23,30,2019-01-23,26
2020-01-24,31,2019-01-24,29
2020-01-25,29,2019-01-25,31
2020-01-26,31,2019-01-26,29
2020-01-27,27,2019-01-27,29
2020-01-28,29,2019-01-28,25
2020-01-29,29,2019-01-29,25
2020-01-30,29,2019-01-30,26
2020-01-31,32,2019-01-31,26
2020-02-01,36,2019-02-01,28
2020-02-02,32,2019-02-02,26
2020-02-03,29,2019-02-03,31
2020-02-04,27,2019-02-04,30
2020-02-05,27,2019-02-05,26
2020-02-06,28,2019-02-06,27
2020-02-07,30,2019-02-07,27
2020-02-08,29,2019-02-08,30
2020-02-09,30,2019-02-09,26
2020-02-10,25,2019-02-10,27
2020-02-11,27,2019-02-11,24
2020-02-12,28,2019-02-12,26
2020-02-13,29,2019-02-13,27
2020-02-14,29,2019-02-14,27
2020-02-15,29,2019-02-15,27
2020-02-16,34,2019-02-16,27
2020-02-17,40,2019-02-17,31
2020-02-18,26,2019-02-18,34
2020-02-19,27,2019-02-19,24
2020-02-20,27,2019-02-20,25
2020-02-21,28,2019-02-21,28
2020-02-22,29,2019-02-22,29
2020-02-23,29,2019-02-23,27
2020-02-24,26,2019-02-24,28
2020-02-25,26,2019-02-25,24
2020-02-26,28,2019-02-26,26
2020-02-27,28,2019-02-27,27
2020-02-28,29,2019-02-28,27
2020-02-29,28,2019-03-01,29
2020-03-01,29,2019-03-02,27
2020-03-02,25,2019-03-03,26
2020-03-03,25,2019-03-04,23
2020-03-04,27,2019-03-05,26
2020-03-05,28,2019-03-06,28
2020-03-06,30,2019-03-07,27
2020-03-07,30,2019-03-08,29
2020-03-08,29,2019-03-09,27
2020-03-09,24,2019-03-10,27
2020-03-10,26,2019-03-11,24
2020-03-11,27,2019-03-12,25
2020-03-12,30,2019-03-13,26
2020-03-13,25,2019-03-14,28
2020-03-14,25,2019-03-15,30
2020-03-15,24,2019-03-16,31
2020-03-16,21,2019-03-17,30
2020-03-17,22,2019-03-18,26
2020-03-18,23,2019-03-19,27
2020-03-19,24,2019-03-20,29
2020-03-20,24,2019-03-21,35
2020-03-21,28,2019-03-22,38
2020-03-22,28,2019-03-23,34
2020-03-23,24,2019-03-24,34
2020-03-24,24,2019-03-25,27
2020-03-25,24,2019-03-26,26
2020-03-26,25,2019-03-27,27
2020-03-27,24,2019-03-28,34
2020-03-28,28,2019-03-29,35
2020-03-29,28,2019-03-30,38
2020-03-30,23,2019-03-31,40
2020-03-31,24,2019-04-01,27
2020-04-01,24,2019-04-02,28
2020-04-02,25,2019-04-03,28
2020-04-03,25,2019-04-04,28
2020-04-04,28,2019-04-05,32
2020-04-05,28,2019-04-06,34
2020-04-06,23,2019-04-07,34
2020-04-07,23,2019-04-08,30
2020-04-08,24,2019-04-09,34
2020-04-09,24,2019-04-10,30
2020-04-10,25,2019-04-11,31
2020-04-11,26,2019-04-12,32
2020-04-12,27,2019-04-13,35
2020-04-13,24,2019-04-14,33
2020-04-14,23,2019-04-15,27
2020-04-15,23,2019-04-16,29
2020-04-16,23,2019-04-17,31
2020-04-17,24,2019-04-18,30
2020-04-18,27,2019-04-19,28
2020-04-19,26,2019-04-20,32
2020-04-20,23,2019-04-21,32
2020-04-21,23,2019-04-22,26
2020-04-22,23,2019-04-23,29
2020-04-23,23,2019-04-24,33
2020-04-24,22,2019-04-25,31
2020-04-25,23,2019-04-26,30
2020-04-26,24,2019-04-27,30
2020-04-27,81,2019-04-28,33
2020-04-28,95,2019-04-29,27
2020-04-29,99,2019-04-30,30
2020-04-30,98,2019-05-01,31
2020-05-01,96,2019-05-02,31
2020-05-02,43,2019-05-03,33
2020-05-03,25,2019-05-04,30
2020-05-04,23,2019-05-05,33
2020-05-05,83,2019-05-06,29
2020-05-06,100,2019-05-07,32
2020-05-07,96,2019-05-08,34
2020-05-08,100,2019-05-09,36
2020-05-09,43,2019-05-10,35
2020-05-10,24,2019-05-11,35
2020-05-11,23,2019-05-12,34
2020-05-12,23,2019-05-13,31
2020-05-13,22,2019-05-14,31
2020-05-14,22,2019-05-15,34
2020-05-15,21,2019-05-16,33
2020-05-16,22,2019-05-17,35
2020-05-17,23,2019-05-18,29
2020-05-18,22,2019-05-19,34
2020-05-19,21,2019-05-20,31
2020-05-20,22,2019-05-21,33
2020-05-21,22,2019-05-22,32
2020-05-22,21,2019-05-23,30
2020-05-23,22,2019-05-24,30
2020-05-24,22,2019-05-25,28
2020-05-25,22,2019-05-26,31
2020-05-26,20,2019-05-27,26
2020-05-27,19,2019-05-28,28
2020-05-28,19,2019-05-29,28
2020-05-29,19,2019-05-30,32
2020-05-30,20,2019-05-31,33
2020-05-31,20,2019-06-01,29
2020-06-01,18,2019-06-02,34
2020-06-02,18,2019-06-03,31
2020-06-03,18,2019-06-04,27
2020-06-04,19,2019-06-05,29
2020-06-05,19,2019-06-06,34
2020-06-06,20,2019-06-07,31
2020-06-07,20,2019-06-08,36
2020-06-08,18,2019-06-09,33
2020-06-09,18,2019-06-10,33
2020-06-10,19,2019-06-11,39
2020-06-11,19,2019-06-12,30
2020-06-12,19,2019-06-13,34
2020-06-13,21,2019-06-14,35
2020-06-14,21,2019-06-15,26
2020-06-15,19,2019-06-16,28
2020-06-16,19,2019-06-17,22
2020-06-17,19,2019-06-18,23
2020-06-18,18,2019-06-19,24
2020-06-19,19,2019-06-20,25
2020-06-20,20,2019-06-21,23
2020-06-21,20,2019-06-22,26
2020-06-22,18,2019-06-23,27
2020-06-23,18,2019-06-24,22
2020-06-24,18,2019-06-25,22
2020-06-25,18,2019-06-26,23
2020-06-26,18,2019-06-27,23
2020-06-27,20,2019-06-28,24
2020-06-28,20,2019-06-29,27
2020-06-29,18,2019-06-30,29
2020-06-30,19,2019-07-01,20
2020-07-01,18,2019-07-02,23
2020-07-02,19,2019-07-03,25
2020-07-03,19,2019-07-04,26
2020-07-04,21,2019-07-05,23
2020-07-05,22,2019-07-06,26
2020-07-06,18,2019-07-07,33
2020-07-07,18,2019-07-08,23
2020-07-08,19,2019-07-09,25
2020-07-09,18,2019-07-10,30
2020-07-10,19,2019-07-11,19
2020-07-11,21,2019-07-12,19
2020-07-12,21,2019-07-13,23
2020-07-13,18,2019-07-14,25
2020-07-14,18,2019-07-15,20
2020-07-15,20,2019-07-16,20
2020-07-16,21,2019-07-17,21
2020-07-17,20,2019-07-18,21
2020-07-18,21,2019-07-19,20
2020-07-19,24,2019-07-20,24
2020-07-20,20,2019-07-21,25
2020-07-21,20,2019-07-22,19
2020-07-22,21,2019-07-23,20
2020-07-23,23,2019-07-24,22
2020-07-24,26,2019-07-25,20
2020-07-25,30,2019-07-26,20
2020-07-26,28,2019-07-27,26
2020-07-27,21,2019-07-28,26
2020-07-28,21,2019-07-29,20
2020-07-29,22,2019-07-30,20
2020-07-30,23,2019-07-31,21
2020-07-31,25,2019-08-01,21
2020-08-01,27,1970-01-01,-1
