State,Stateofemergencydeclared,Stayathomeordered,Datelifted
Alabama,2020-03-13,2020-04-04,2020-04-30
Alaska,2020-03-11,2020-03-28,
AmericanSamoa,2020-01-29,,
Arizona,2020-03-11,2020-03-31,
Arkansas,2020-03-11,,
California,2020-03-04,2020-03-19,
Colorado,2020-03-10,2020-03-26,2020-04-26
Connecticut,2020-03-10,2020-03-23,
Delaware,2020-03-12,2020-03-24,
DistrictofColumbia,2020-03-11,2020-03-30,
Florida,2020-03-01,2020-04-03,2020-05-04
Georgia,2020-03-14,2020-04-03,2020-04-30
Guam,2020-03-14,,
Hawaii,2020-03-04,2020-03-25,
Idaho,2020-03-13,2020-03-25,2020-04-30
Illinois,2020-03-09,2020-03-21,2020-05-30
Indiana,2020-03-06,2020-03-25,2020-05-01
Iowa,2020-03-09,,
Kansas,2020-03-09,2020-03-30,2020-05-04
Kentucky,2020-03-06,,
Louisiana,2020-03-11,2020-03-23,2020-05-15
Maine,2020-03-15,2020-04-02,2020-04-30
Maryland,2020-03-05,2020-03-30,2020-05-15
Massachusetts,2020-03-10,,2020-05-18
Michigan,2020-03-11,2020-03-24,2020-06-02
Minnesota,2020-03-13,2020-03-27,
Mississippi,2020-03-04,2020-04-03,2020-04-27
Missouri,2020-03-13,2020-04-06,2020-05-03
Montana,2020-03-12,2020-03-28,2020-04-26
N.MarianaIslands,2020-01-29,,
Nebraska,2020-03-13,,
Nevada,2020-03-12,2020-04-01,
NewHampshire,2020-03-13,2020-03-27,
NewJersey,2020-03-09,2020-03-21,
NewMexico,2020-03-11,2020-03-24,
NewYork,2020-03-07,2020-03-22,
NorthCarolina,2020-03-10,2020-03-30,
NorthDakota,2020-03-13,,
Ohio,2020-03-09,2020-03-23,
Oklahoma,2020-03-15,,
Oregon,2020-03-08,2020-03-23,
Pennsylvania,2020-03-06,2020-04-01,
PuertoRico,2020-03-12,2020-03-15,
RhodeIsland,2020-03-09,2020-03-28,
SouthCarolina,2020-03-13,2020-04-07,
SouthDakota,2020-03-13,,
Tennessee,2020-03-12,2020-04-02,2020-04-30
Texas,2020-03-13,2020-04-02,2020-04-30
U.S.VirginIslands,2020-03-13,2020-03-25,
Utah,2020-03-06,,
Vermont,2020-03-16,2020-03-25,
Virginia,2020-03-12,2020-03-30,
Washington,2020-02-29,2020-03-23,
WestVirginia,2020-03-04,2020-03-23,
Wisconsin,2020-03-12,,2020-05-13
Wyoming,2020-03-12,,
